risk_band,count,avg_score,min_score,max_score,default_rate,total_defaults,cumulative_default_rate
Band_1,40,0.09991164848698374,0.033375069748490575,0.15865934003793344,0.175,7,0.175
Band_2,40,0.18933521952985508,0.16065501519298064,0.22597482155675425,0.15,6,0.1625
Band_3,40,0.2743937161784819,0.22882366000603405,0.3214150106457447,0.175,7,0.16666666666666666
Band_4,40,0.39319351566717237,0.3224273222089421,0.48581883227815864,0.475,19,0.24375
Band_5,40,0.6046856281044862,0.4882042530758721,0.814888888888889,0.525,21,0.3
